cooperative_id,crop_type
6,Beans
6,Tubers
6,Cereals
11,Beans
11,Tubers
11,Cereals
5,n.a.
9,Beans
9,Tubers
9,Cereals
9,Horticulture
8,Beans
8,Tubers
8,Cereals
8,Horticulture
3,n.a.
14,Beans
14,Tubers
14,Cereals
15,Beans
15,Tubers
15,Cereals
1,Beans
1,Tubers
1,Cereals
16,Beans
16,Tubers
16,Cereals
16,Soja
9,n.a.
15,Beans
15,Tubers
15,Cereals
4,n.a.
2,Beans
2,Tubers
5,Beans
5,Tubers
5,Cereals
11,n.a.
12,n.a.
14,Beans
14,Tubers
14,Cereals
14,Horticulture
5,Beans
5,Tubers
7,n.a.
13,Beans
13,Tubers
13,Cereals
15,Beans
15,Tubers
15,Cereals
15,Spices
8,Beans
8,Tubers
8,Cereals
16,Beans
16,Tubers
16,Cereals
16,Spices
2,Beans
2,Tubers
2,Cereals
2,Horticulture
2,Spices
7,Beans
7,Tubers
7,Cereals
1,Beans
1,Tubers
1,Cereals
4,Beans
4,Tubers
9,Beans
9,Tubers
9,Cereals
16,Beans
16,Tubers
16,Cereals
1,Tubers
1,Cereals
4,Beans
4,Tubers
4,Cereals
1,Beans
1,Tubers
1,Cereals
2,Beans
2,Tubers
2,Cereals
4,Beans
4,Tubers
4,Cereals
4,Beans
4,Tubers
4,Cereals
6,Beans
6,Tubers
7,n.a.
8,Beans
8,Tubers
8,Cereals
15,Beans
15,Tubers
15,Cereals
1,Beans
1,Tubers
1,Cereals
1,Beans
1,Tubers
1,Cereals
2,Beans
2,Tubers
2,Cereals
3,Tubers
4,Beans
4,Tubers
4,Cereals
4,Horticulture
6,Beans
6,Tubers
6,Cereals
6,Spices
6,Beans
6,Tubers
6,Cereals
7,Beans
7,Tubers
7,Cereals
8,Beans
8,Tubers
8,Tubers
9,Beans
9,Tubers
10,Tubers
11,Beans
11,Tubers
11,Cereals
12,Beans
12,Tubers
12,Cereals
13,Beans
13,Tubers
13,Cereals
13,Fibers
14,Beans
14,Tubers
14,Cereals
15,Tubers
16,Beans
16,Tubers
16,Cereals
16,Spices
17,Beans
17,Tubers
17,Cereals
18,Beans
18,Tubers
18,Cereals
1,Beans
1,Tubers
2,Beans
2,Tubers
2,Cereals
2,Spices
2,Beans
2,Tubers
2,Cereals
3,Beans
3,Tubers
3,Cereals
4,Beans
4,Tubers
4,Cereals
4,Horticulture
4,Spices
5,Beans
5,Tubers
5,Cereals
3,Beans
3,Tubers
3,Cereals
7,Beans
7,Cereals
11,Beans
11,Tubers
11,Cereals
11,Spices
11,Beans
11,Tubers
14,Beans
14,Tubers
14,Cereals
14,Spices
14,Beans
14,Tubers
14,Spices
16,Beans
16,Tubers
16,Cereals
16,Spices
5,Beans
5,Tubers
5,Cereals
5,Horticulture
5,Spices
17,Beans
17,Tubers
17,Cereals
1,Beans
1,Tubers
1,Cereals
1,Spices
3,Beans
3,Tubers
3,Cereals
3,Horticulture
3,Spices
3,Beans
3,Tubers
3,Cereals
7,Beans
7,Tubers
7,Cereals
7,Horticulture
7,Spices
9,Beans
9,Tubers
9,Cereals
10,n.a.
10,Beans
10,Tubers
10,Cereals
10,Horticulture
10,Spices
12,Tubers
12,Cereals
10,Beans
10,Tubers
10,Cereals
4,Beans
4,Tubers
4,Cereals
4,Spices
5,Beans
5,Tubers
5,Cereals
5,Spices
12,Beans
12,Tubers
12,Cereals
12,Spices
5,Beans
5,Tubers
5,Cereals
18,Beans
18,Tubers
18,Cereals
18,Spices
2,Beans
2,Tubers
2,Cereals
17,Beans
17,Tubers
17,Cereals
17,Spices
8,Beans
8,Tubers
8,Cereals
8,Spices
7,Beans
7,Tubers
7,Cereals
7,Spices
9,Beans
9,Tubers
9,Cereals
9,Spices
10,Beans
10,Tubers
10,Cereals
10,Spices
13,Beans
13,Tubers
13,Cereals
13,Spices
18,Cereals
18,Horticulture
3,Beans
3,Tubers
3,Cereals
3,Spices
2,Beans
2,Tubers
2,Cereals
3,Beans
3,Tubers
5,Beans
5,Tubers
5,Cereals
6,Beans
6,Tubers
6,Cereals
6,Beans
6,Tubers
8,Beans
8,Tubers
10,n.a.
12,n.a.
13,n.a.
13,Tubers
13,Horticulture
13,Spices
17,n.a.
